"cash_per_dau","cash_per_user","cli","date_field","dau","earn_type","experiment","gid","total_cash","users","variant_group","version"
10.2879126334078,872.631578947368,"0",2015-09-15,8058,"purchase","content","4",82900,95,"3","2"
-56.3862000496401,-82.776462014939,"0",2015-09-15,8058,"spend","content","4",-454360,5489,"3","2"
42.5533631173989,45.3444855858239,"0",2015-09-15,8058,"earn","content","4",342895,7562,"3","2"
-98.7802291047942,-135.088482738613,"0",2015-08-24,4714,"spend","content","4",-465650,3447,"1","2"
12.0288692862871,1071.42857142857,"0",2015-09-04,6235,"purchase","content","4",75000,70,"2","2"
57.0384420839656,60.6372109697078,"0",2015-09-01,5931,"earn","content","4",338295,5579,"1","2"
46.0873429359485,51.0205258693808,"0",2015-09-12,6526,"earn","content","4",300766,5895,"2","2"
-65.8787925222188,-99.1982002768805,"0",2015-09-12,6526,"spend","content","4",-429925,4334,"2","2"
11.3499397348333,807.142857142857,"0",2015-08-26,4978,"purchase","content","4",56500,70,"1","2"
-85.4359180393732,-120.447465307278,"0",2015-08-26,4978,"spend","content","4",-425300,3531,"1","2"
57.6635194857372,60.789707750953,"0",2015-08-26,4978,"earn","content","4",287049,4722,"1","2"
64.1040898424405,67.9057173295455,"0",2015-08-30,5966,"earn","content","4",382445,5632,"2","2"
13.8296112489661,1100,"0",2015-09-08,6045,"purchase","content","4",83600,76,"2","2"
45.8029776674938,48.8926364117959,"0",2015-09-08,6045,"earn","content","4",276879,5663,"2","2"
54.5042546948357,57.7044113078596,"0",2015-08-27,6816,"earn","content","4",371501,6438,"3","2"
10.6367370892019,884.146341463415,"0",2015-08-27,6816,"purchase","content","4",72500,82,"3","2"
9.95415848068107,996.72131147541,"0",2015-09-11,6108,"purchase","content","4",60800,61,"2","2"
-59.0013097576948,-87.280213126665,"0",2015-09-11,6108,"spend","content","4",-360380,4129,"2","2"
44.0640144073346,47.6106492128074,"0",2015-09-11,6108,"earn","content","4",269143,5653,"2","2"
-68.8362400615542,-97.7750455373406,"0",2015-09-03,7798,"spend","content","4",-536785,5490,"3","2"
11.2927872860636,1055.71428571429,"0",2015-09-06,6544,"purchase","content","4",73900,70,"2","2"
53.6534229828851,56.9333549537863,"0",2015-09-06,6544,"earn","content","4",351108,6167,"2","2"
10.8152827918171,933.766233766234,"0",2015-08-26,6648,"purchase","content","4",71900,77,"3","2"
57.4339651022864,60.1103589420655,"0",2015-08-26,6648,"earn","content","4",381821,6352,"3","2"
12.3133089943578,1060,"0",2015-09-09,6026,"purchase","content","4",74200,70,"2","2"
10.2486355366889,853.535353535354,"0",2015-09-14,8245,"purchase","content","4",84500,99,"3","2"
54.4538369304556,57.8160407383832,"0",2015-08-29,5004,"earn","content","4",272487,4713,"1","2"
-78.0325739408473,-109.992957746479,"0",2015-08-29,5004,"spend","content","4",-390475,3550,"1","2"
-60.0901243970551,-88.0889467807964,"0",2015-09-11,7878,"spend","content","4",-473390,5374,"3","2"
-71.4721392160309,-100.669720227779,"0",2015-09-03,5689,"spend","content","4",-406605,4039,"1","2"
8.87366016517308,753.731343283582,"0",2015-09-07,5691,"purchase","content","4",50500,67,"1","2"
8.12280701754386,784.745762711864,"0",2015-09-09,5700,"purchase","content","4",46300,59,"1","2"
57.0873159911272,60.6071505031043,"0",2015-08-28,4959,"earn","content","4",283096,4671,"1","2"
-86.5446662633595,-122.516414501856,"0",2015-08-28,4959,"spend","content","4",-429175,3503,"1","2"
64.990816496911,68.8415281216838,"0",2015-08-31,5989,"earn","content","4",389230,5654,"1","2"
54.6106151598766,57.6221955814352,"0",2015-09-06,6161,"earn","content","4",336456,5839,"1","2"
7.36893361467294,782.758620689655,"0",2015-09-06,6161,"purchase","content","4",45400,58,"1","2"
-72.1270897581561,-101.086214740673,"0",2015-09-06,6161,"spend","content","4",-444375,4396,"1","2"
-95.1277297074578,-134.0737514518,"0",2015-08-25,4854,"spend","content","4",-461750,3444,"1","2"
12.9995879686856,927.941176470588,"0",2015-08-25,4854,"purchase","content","4",63100,68,"1","2"
49.0671349232277,52.1961772371851,"0",2015-09-07,6122,"earn","content","4",300389,5755,"2","2"
47.330454705675,50.1686904539511,"0",2015-09-08,5674,"earn","content","4",268553,5353,"1","2"
13.7997885089884,943.373493975904,"0",2015-09-08,5674,"purchase","content","4",78300,83,"1","2"
49.5526252983294,52.3183822602999,"0",2015-09-06,8380,"earn","content","4",415251,7937,"3","2"
9.1199386894878,892.5,"0",2015-09-10,7829,"purchase","content","4",71400,80,"3","2"
7.98212005108557,811.688311688312,"0",2015-09-07,7830,"purchase","content","4",62500,77,"3","2"
-62.2352012628256,-91.3908205841446,"0",2015-09-14,6335,"spend","content","4",-394260,4314,"2","2"
-62.9226240538267,-93.7699194270367,"0",2015-09-12,8323,"spend","content","4",-523705,5585,"3","2"
44.5656154628688,47.4497698348226,"0",2015-09-08,7864,"earn","content","4",350464,7386,"3","2"
13.53001017294,1064,"0",2015-09-08,7864,"purchase","content","4",106400,100,"3","2"
58.3022972148811,62.1562635457304,"0",2015-08-27,4919,"earn","content","4",286789,4614,"1","2"
-64.5168730274338,-96.3018662801232,"0",2015-09-16,8238,"spend","content","4",-531490,5519,"3","2"
51.1667675178507,54.2735558408216,"0",2015-09-05,8263,"earn","content","4",422791,7790,"3","2"
-72.3124438454627,-101.991129415492,"0",2015-09-13,8904,"spend","content","4",-643870,6313,"3","2"
10.1157523905385,873.913043478261,"0",2015-09-14,5961,"purchase","content","4",60300,69,"1","2"
9.47352073303308,762.5,"0",2015-09-13,6439,"purchase","content","4",61000,80,"1","2"
-94.2344157383266,-128.126007089913,"0",2015-08-31,8438,"spend","content","4",-795150,6206,"3","2"
63.3997392747096,66.6459449358415,"0",2015-08-31,8438,"earn","content","4",534967,8027,"3","2"
-58.8618974751339,-84.7118737383006,"0",2015-09-09,7842,"spend","content","4",-461595,5449,"3","2"
43.374649324152,46.2780952380952,"0",2015-09-09,7842,"earn","content","4",340144,7350,"3","2"
7.78276342255918,689.041095890411,"0",2015-08-31,6463,"purchase","content","4",50300,73,"2","2"
-96.3832585486616,-130.37358727501,"0",2015-08-31,6463,"spend","content","4",-622925,4778,"2","2"
-78.6029248132252,-112.282243415077,"0",2015-09-01,6291,"spend","content","4",-494491,4404,"2","2"
11.2558000299356,864.367816091954,"0",2015-08-25,6681,"purchase","content","4",75200,87,"3","2"
-91.0567280347253,-126.318521594684,"0",2015-08-25,6681,"spend","content","4",-608350,4816,"3","2"
7.87350758309132,787.096774193548,"0",2015-09-03,6198,"purchase","content","4",48800,62,"2","2"
53.9459503065505,57.1257474799248,"0",2015-09-03,6198,"earn","content","4",334357,5853,"2","2"
61.0897362929235,64.78953722334,"0",2015-08-27,5271,"earn","content","4",322004,4970,"2","2"
55.4146341463415,58.6820730671198,"0",2015-09-02,6232,"earn","content","4",345344,5885,"2","2"
10.6994111733448,1006.75675675676,"0",2015-09-13,6963,"purchase","content","4",74500,74,"2","2"
52.920292977165,56.438045642518,"0",2015-09-13,6963,"earn","content","4",368484,6529,"2","2"
11.0458284371328,996.969696969697,"0",2015-09-10,5957,"purchase","content","4",65800,66,"2","2"
45.8457277152929,49.101582164689,"0",2015-09-10,5957,"earn","content","4",273103,5562,"2","2"
-62.9226120530468,-90.6481257557436,"0",2015-09-10,5957,"spend","content","4",-374830,4135,"2","2"
45.627652733119,48.6632373113855,"0",2015-09-15,6220,"earn","content","4",283804,5832,"2","2"
10.2090032154341,835.526315789474,"0",2015-09-15,6220,"purchase","content","4",63500,76,"2","2"
11.5740740740741,880.681818181818,"0",2015-08-28,6696,"purchase","content","4",77500,88,"3","2"
53.7491039426523,57.3643608543194,"0",2015-08-28,6696,"earn","content","4",359904,6274,"3","2"
-80.7758363201912,-116.142366330256,"0",2015-08-28,6696,"spend","content","4",-540875,4657,"3","2"
6.15192582025678,663.461538461538,"0",2015-08-30,5608,"purchase","content","4",34500,52,"1","2"
-88.1143009985735,-121.411547911548,"0",2015-08-30,5608,"spend","content","4",-494145,4070,"1","2"
-69.343046588728,-100.10201511335,"0",2015-09-04,5731,"spend","content","4",-397405,3970,"1","2"
49.1652416681207,52.4899403874814,"0",2015-09-04,5731,"earn","content","4",281766,5368,"1","2"
