action_type,actions,actions_per_dau,actions_per_user,cli,date_field,dau,experiment,gid,users,variant_group,version
fail,43945,5.334425832,7.400639946,0,09/16/2015,8238,content,4,5938,3,2
use_hint,15648,1.893743193,2.694678836,0,09/05/2015,8263,content,4,5807,3,2
view,88992,10.76993828,11.00705009,0,09/05/2015,8263,content,4,8085,3,2
view,90941,10.21349955,10.43260296,0,09/13/2015,8904,content,4,8717,3,2
fail,44198,8.710681908,10.84347399,0,08/25/2015,5074,content,4,4076,2,2
clear,64971,12.80469058,17.84427355,0,08/25/2015,5074,content,4,3641,2,2
use_hint,11982,2.361450532,3.337604457,0,08/25/2015,5074,content,4,3590,2,2
use_hint,9846,1.651736286,2.410871694,0,09/14/2015,5961,content,4,4084,1,2
clear,72227,10.86447052,15.2120893,0,08/26/2015,6648,content,4,4748,3,2
view,83040,12.49097473,12.68173488,0,08/26/2015,6648,content,4,6548,3,2
use_hint,12203,1.895170057,2.723276054,0,09/13/2015,6439,content,4,4481,1,2
view,68218,10.59450225,10.85928048,0,09/13/2015,6439,content,4,6282,1,2
view,115425,13.67918938,13.92004342,0,08/31/2015,8438,content,4,8292,3,2
use_hint,13005,1.658377965,2.389746417,0,09/09/2015,7842,content,4,5442,3,2
use_hint,15812,2.446541854,3.31349539,0,08/31/2015,6463,content,4,4772,2,2
fail,58505,9.052297695,11.05954631,0,08/31/2015,6463,content,4,5290,2,2
view,99204,15.34952808,15.60056613,0,08/31/2015,6463,content,4,6359,2,2
fail,47592,7.56509299,9.568154403,0,09/01/2015,6291,content,4,4974,2,2
view,79192,12.58814179,12.82669258,0,09/01/2015,6291,content,4,6174,2,2
use_hint,13056,2.075345732,2.972677596,0,09/01/2015,6291,content,4,4392,2,2
use_hint,14866,2.225116001,3.127050905,0,08/25/2015,6681,content,4,4754,3,2
fail,44404,7.164246531,9.045426767,0,09/03/2015,6198,content,4,4909,2,2
fail,36211,6.009127116,7.71595994,0,09/09/2015,6026,content,4,4693,2,2
view,58690,9.73946233,9.95083079,0,09/09/2015,6026,content,4,5898,2,2
use_hint,15873,1.952398524,2.84258596,0,09/01/2015,8130,content,4,5584,3,2
view,71272,8.644269254,8.883460052,0,09/14/2015,8245,content,4,8023,3,2
clear,47788,7.905376344,11.82871287,0,09/08/2015,6045,content,4,4040,2,2
view,56280,9.310173697,9.540600102,0,09/08/2015,6045,content,4,5899,2,2
view,59135,11.81754596,12.11286358,0,08/29/2015,5004,content,4,4882,1,2
fail,36188,7.231814548,9.233988262,0,08/29/2015,5004,content,4,3919,1,2
use_hint,10210,2.040367706,2.887443439,0,08/29/2015,5004,content,4,3536,1,2
view,57800,9.352750809,9.747048904,0,09/12/2015,6180,content,4,5930,1,2
use_hint,11586,2.198064883,3.14495114,0,08/27/2015,5271,content,4,3684,2,2
fail,40881,7.755833808,9.877023436,0,08/27/2015,5271,content,4,4139,2,2
clear,65067,10.44078947,15.0757646,0,09/02/2015,6232,content,4,4316,2,2
view,76339,12.24951861,12.53925756,0,09/02/2015,6232,content,4,6088,2,2
fail,46377,6.660491168,8.658887229,0,09/13/2015,6963,content,4,5356,2,2
use_hint,13080,1.878500646,2.684729064,0,09/13/2015,6963,content,4,4872,2,2
view,76211,10.94513859,11.20585208,0,09/13/2015,6963,content,4,6801,2,2
view,65687,8.338029957,8.526349948,0,09/11/2015,7878,content,4,7704,3,2
clear,54885,6.966869764,10.7344025,0,09/11/2015,7878,content,4,5113,3,2
use_hint,12690,2.139605463,3.073383386,0,09/01/2015,5931,content,4,4129,1,2
fail,38834,5.950658903,7.886677498,0,09/12/2015,6526,content,4,4924,2,2
use_hint,11204,1.716825008,2.582161788,0,09/12/2015,6526,content,4,4339,2,2
clear,47121,7.910189693,11.96875794,0,09/10/2015,5957,content,4,3937,2,2
view,55839,9.373678026,9.56966581,0,09/10/2015,5957,content,4,5835,2,2
view,64232,11.29056073,11.49668874,0,09/03/2015,5689,content,4,5587,1,2
fail,39861,7.006679557,8.92743561,0,09/03/2015,5689,content,4,4465,1,2
clear,85446,11.12867934,15.75331858,0,08/30/2015,7678,content,4,5424,3,2
use_hint,10095,1.622990354,2.401855817,0,09/15/2015,6220,content,4,4203,2,2
view,56167,9.030064309,9.297632842,0,09/15/2015,6220,content,4,6041,2,2
view,79274,10.00555345,10.21703828,0,09/04/2015,7923,content,4,7759,3,2
view,76700,11.45459976,11.71171171,0,08/28/2015,6696,content,4,6549,3,2
use_hint,12661,2.257667618,3.112340216,0,08/30/2015,5608,content,4,4068,1,2
view,73530,13.11162625,13.38856519,0,08/30/2015,5608,content,4,5492,1,2
clear,64047,11.42064907,15.78289798,0,08/30/2015,5608,content,4,4058,1,2
fail,44350,7.908345221,9.910614525,0,08/30/2015,5608,content,4,4475,1,2
view,55819,9.808293797,10.05566565,0,09/07/2015,5691,content,4,5551,1,2
clear,47539,8.353364962,12.07799797,0,09/07/2015,5691,content,4,3936,1,2
view,63034,12.66251507,12.9035824,0,08/26/2015,4978,content,4,4885,1,2
fail,38728,7.779831258,9.922623623,0,08/26/2015,4978,content,4,3903,1,2
use_hint,10919,2.193451185,3.117042535,0,08/26/2015,4978,content,4,3503,1,2
clear,54962,11.04098031,15.60533788,0,08/26/2015,4978,content,4,3522,1,2
clear,47050,8.254385965,12.06410256,0,09/09/2015,5700,content,4,3900,1,2
view,54815,9.616666667,9.860586436,0,09/09/2015,5700,content,4,5559,1,2
use_hint,10400,2.097197016,2.993667242,0,08/28/2015,4959,content,4,3474,1,2
fail,36959,7.452913894,9.474237375,0,08/28/2015,4959,content,4,3901,1,2
use_hint,14596,1.87176199,2.683088235,0,09/03/2015,7798,content,4,5440,3,2
view,81728,10.48063606,10.69458257,0,09/03/2015,7798,content,4,7642,3,2
clear,69602,8.925621954,12.98544776,0,09/03/2015,7798,content,4,5360,3,2
view,80933,11.70228456,11.95288731,0,08/29/2015,6916,content,4,6771,3,2
fail,40829,7.794768996,9.900339476,0,08/28/2015,5238,content,4,4124,2,2
clear,57339,10.9467354,15.72223746,0,08/28/2015,5238,content,4,3647,2,2
view,66966,12.78465063,13.11002349,0,08/28/2015,5238,content,4,5108,2,2
fail,37919,6.61647182,8.467842787,0,09/04/2015,5731,content,4,4478,1,2
view,59673,10.41231897,10.6501874,0,09/04/2015,5731,content,4,5603,1,2
use_hint,11660,2.274678112,3.200658798,0,08/26/2015,5126,content,4,3643,2,2
fail,42385,8.268630511,10.32772904,0,08/26/2015,5126,content,4,4104,2,2
use_hint,14860,2.320062451,3.190210391,0,08/24/2015,6405,content,4,4658,3,2
clear,58917,9.731912785,13.89551887,0,09/05/2015,6054,content,4,4240,1,2
view,68249,11.27337298,11.51104739,0,09/05/2015,6054,content,4,5929,1,2
fail,41043,7.035138841,8.932100109,0,09/02/2015,5834,content,4,4595,1,2
clear,66911,13.57771916,18.66415621,0,08/24/2015,4928,content,4,3585,2,2
fail,44404,9.010551948,10.99381035,0,08/24/2015,4928,content,4,4039,2,2
view,75505,15.32163149,15.58732453,0,08/24/2015,4928,content,4,4844,2,2
view,66511,12.5920106,12.87226631,0,08/29/2015,5282,content,4,5167,2,2
fail,40260,7.622112836,9.673234022,0,08/29/2015,5282,content,4,4162,2,2
use_hint,10931,2.069481257,2.901778604,0,08/29/2015,5282,content,4,3767,2,2
fail,51350,8.574052429,10.71354058,0,08/31/2015,5989,content,4,4793,1,2
clear,75709,12.64134246,17.39237308,0,08/31/2015,5989,content,4,4353,1,2
use_hint,12764,1.974628713,2.835184363,0,09/05/2015,6464,content,4,4502,2,2
view,75165,11.62824876,11.8819159,0,09/05/2015,6464,content,4,6326,2,2
fail,32742,5.652969613,7.409368635,0,09/11/2015,5792,content,4,4419,1,2
clear,45856,8.039270687,11.90137555,0,09/10/2015,5704,content,4,3853,1,2
use_hint,9938,1.742286115,2.50959596,0,09/10/2015,5704,content,4,3960,1,2
fail,33483,5.870091164,7.690169959,0,09/10/2015,5704,content,4,4354,1,2
fail,34268,5.772911051,7.908608354,0,09/16/2015,5936,content,4,4333,1,2
view,57380,9.666442049,9.984339655,0,09/16/2015,5936,content,4,5747,1,2
clear,54311,6.740009928,10.67433176,0,09/15/2015,8058,content,4,5088,3,2
fail,41625,6.676022454,8.571869852,0,09/04/2015,6235,content,4,4856,2,2
use_hint,12224,1.984093491,2.805600184,0,09/06/2015,6161,content,4,4357,1,2
